index,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Zixibacteria,Group1,Group2
D14E09C,0.0,0.0,71.0,0.0,7598.0,0.0,381.0,0.0,0.0,0.0,0.0,38.0,135550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.0,0.0,188.0,0.0,0.0,Cecum,D14C
D14E09D,16.0,30.0,247.0,0.0,2286.0,0.0,7.0,0.0,0.0,0.0,0.0,102.0,99357.0,42.0,78.0,0.0,15.0,0.0,0.0,0.0,2951.0,8.0,23.0,85.0,0.0,Duodenum,D14D
D14E09I,0.0,0.0,73.0,0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,141841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,Ileum,D14I
D14E09J,0.0,0.0,18.0,0.0,1351.0,0.0,8.0,0.0,0.0,0.0,0.0,119.0,109819.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E10C,0.0,0.0,209.0,0.0,24579.0,0.0,115.0,0.0,0.0,0.0,0.0,356.0,107686.0,3.0,0.0,110.0,0.0,0.0,0.0,0.0,3050.0,0.0,252.0,3.0,0.0,Cecum,D14C
D14E10D,0.0,19.0,514.0,0.0,1790.0,40.0,11.0,0.0,0.0,0.0,0.0,149.0,53398.0,169.0,0.0,0.0,200.0,14.0,0.0,0.0,4160.0,0.0,13.0,129.0,0.0,Duodenum,D14D
D14E10I,0.0,0.0,24.0,0.0,1730.0,0.0,3.0,0.0,0.0,0.0,0.0,150.0,159688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,6.0,0.0,0.0,Ileum,D14I
D14E10J,9.0,0.0,85.0,0.0,9258.0,0.0,62.0,12.0,0.0,0.0,0.0,770.0,72056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,4.0,0.0,Jejunum,D14J
D21E01C,4.0,0.0,18.0,0.0,29792.0,0.0,312.0,0.0,0.0,0.0,0.0,31045.0,96507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060.0,0.0,87.0,27.0,0.0,Cecum,D21C
D21E01D,0.0,41.0,1003.0,0.0,2797.0,21.0,0.0,67.0,0.0,0.0,0.0,21485.0,42950.0,50.0,131.0,0.0,211.0,0.0,0.0,7.0,2518.0,14.0,0.0,189.0,0.0,Duodenum,D21D
D21E01I,0.0,0.0,13.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,17185.0,132321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E01J,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,72332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,11.0,0.0,Jejunum,D21J
D21E02C,0.0,0.0,26.0,0.0,36298.0,0.0,353.0,0.0,0.0,0.0,0.0,23864.0,92382.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5161.0,0.0,3502.0,4343.0,0.0,Cecum,D21C
D21E02D,0.0,0.0,349.0,0.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,94810.0,0.0,0.0,0.0,209.0,0.0,0.0,13.0,2585.0,7.0,0.0,75.0,0.0,Duodenum,D21D
D21E02I,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,101391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E02J,0.0,0.0,15.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,88400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,Jejunum,D21J
D21E03C,0.0,0.0,76.0,0.0,50448.0,0.0,306.0,0.0,0.0,0.0,0.0,6217.0,99918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3419.0,0.0,195.0,13.0,0.0,Cecum,D21C
D21E03D,0.0,0.0,1166.0,0.0,9982.0,0.0,0.0,0.0,33.0,0.0,0.0,133.0,66346.0,84.0,0.0,0.0,171.0,0.0,0.0,0.0,5035.0,0.0,0.0,97.0,0.0,Duodenum,D21D
D21E03I,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,101931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E03J,0.0,0.0,11.0,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,79908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,Jejunum,D21J
D21E04C,0.0,0.0,83.0,0.0,87025.0,0.0,976.0,0.0,0.0,0.0,0.0,3070.0,127698.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,4487.0,0.0,157.0,0.0,0.0,Cecum,D21C
D21E04D,7.0,13.0,962.0,0.0,2995.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,72277.0,82.0,0.0,0.0,82.0,0.0,9.0,26.0,3155.0,11.0,0.0,131.0,0.0,Duodenum,D21D
D21E04I,0.0,0.0,11.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,99040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E04J,0.0,0.0,27.0,0.0,3293.0,0.0,22.0,0.0,0.0,0.0,0.0,303.0,98026.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,Jejunum,D21J
D21E05C,0.0,0.0,232.0,0.0,33342.0,0.0,2058.0,0.0,0.0,0.0,0.0,1182.0,102912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9288.0,0.0,56.0,22.0,0.0,Cecum,D21C
D21E05D,0.0,23.0,569.0,0.0,2661.0,0.0,0.0,0.0,14.0,0.0,0.0,172.0,40622.0,257.0,42.0,0.0,48.0,0.0,0.0,3.0,3296.0,31.0,0.0,119.0,0.0,Duodenum,D21D
D21E05I,0.0,0.0,15.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,115032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E05J,0.0,0.0,4.0,0.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,96143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,5.0,0.0,0.0,Jejunum,D21J
D21E06C,0.0,0.0,243.0,0.0,66474.0,0.0,280.0,0.0,0.0,0.0,0.0,42.0,73955.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,0.0,122.0,0.0,0.0,Cecum,D21C
D21E06D,0.0,18.0,329.0,0.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,76809.0,0.0,44.0,0.0,105.0,0.0,47.0,0.0,2602.0,24.0,20.0,110.0,0.0,Duodenum,D21D
D21E06I,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,101558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E06J,6.0,0.0,82.0,0.0,8016.0,0.0,121.0,0.0,0.0,0.0,0.0,685.0,51572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,0.0,5.0,12.0,0.0,Jejunum,D21J
D21E07C,0.0,21.0,127.0,0.0,36581.0,7.0,50.0,0.0,0.0,0.0,0.0,2416.0,120423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9108.0,0.0,265.0,0.0,0.0,Cecum,D21C
D21E07D,0.0,0.0,860.0,0.0,19408.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,65131.0,16.0,0.0,0.0,83.0,0.0,3.0,12.0,2907.0,0.0,0.0,66.0,0.0,Duodenum,D21D
D21E07I,0.0,0.0,17.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,154103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E07J,0.0,0.0,25.0,0.0,4341.0,0.0,29.0,0.0,0.0,0.0,0.0,399.0,95856.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,17.0,0.0,Jejunum,D21J
D21E08C,0.0,36.0,67.0,0.0,57966.0,0.0,137.0,0.0,0.0,0.0,0.0,13210.0,104226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.0,0.0,410.0,0.0,0.0,Cecum,D21C
D21E08D,0.0,0.0,734.0,0.0,2545.0,0.0,0.0,0.0,0.0,23.0,0.0,158269.0,41398.0,66.0,0.0,0.0,109.0,0.0,0.0,0.0,2929.0,0.0,46.0,152.0,0.0,Duodenum,D21D
D21E08I,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,8244.0,118377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,Ileum,D21I
D21E08J,0.0,0.0,40.0,0.0,4494.0,0.0,28.0,0.0,0.0,0.0,0.0,2299.0,71538.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,418.0,0.0,21.0,20.0,0.0,Jejunum,D21J
D21E09C,0.0,0.0,250.0,0.0,42734.0,6.0,880.0,0.0,0.0,0.0,0.0,4540.0,113703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3338.0,0.0,67.0,12.0,0.0,Cecum,D21C
D21E09D,0.0,0.0,266.0,0.0,1612.0,0.0,4.0,51.0,0.0,0.0,0.0,100742.0,46598.0,38.0,28.0,0.0,178.0,0.0,7.0,10.0,1794.0,0.0,29.0,69.0,0.0,Duodenum,D21D
