index,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Olpidiomycota,k__Fungi;p__Rozellomycota,k__Fungi;p__unidentified,Group1,Group2
D07E08C,184528.0,0.0,28926.0,95.0,2856.0,12472.0,314.0,0.0,14.0,0.0,Cecum,D07C
D07E08D,42049.0,0.0,51969.0,14.0,0.0,638.0,0.0,0.0,0.0,0.0,Duodenum,D07D
D07E08I,5233.0,0.0,183472.0,5.0,0.0,32.0,591.0,0.0,0.0,0.0,Ileum,D07I
D07E08J,7956.0,0.0,69312.0,5.0,0.0,32.0,127.0,0.0,0.0,0.0,Jejunum,D07J
D07E09C,192086.0,0.0,70204.0,160.0,1770.0,10967.0,0.0,0.0,0.0,0.0,Cecum,D07C
D07E09D,10192.0,0.0,160673.0,3.0,43.0,262.0,5.0,0.0,0.0,0.0,Duodenum,D07D
D07E09I,33180.0,0.0,117696.0,0.0,2.0,76.0,1556.0,0.0,0.0,0.0,Ileum,D07I
D07E09J,17766.0,0.0,66617.0,0.0,0.0,6.0,996.0,0.0,0.0,0.0,Jejunum,D07J
D07E10C,216084.0,0.0,93493.0,74.0,3051.0,15512.0,0.0,0.0,0.0,0.0,Cecum,D07C
D07E10D,82162.0,0.0,132173.0,80.0,0.0,3571.0,5.0,0.0,0.0,0.0,Duodenum,D07D
D07E10I,115815.0,0.0,81109.0,8.0,228.0,1209.0,1081.0,0.0,0.0,0.0,Ileum,D07I
D07E10J,41620.0,0.0,45524.0,0.0,0.0,119.0,312.0,0.0,0.0,0.0,Jejunum,D07J
D14E01C,37250.0,0.0,63669.0,4.0,0.0,13.0,185.0,0.0,0.0,0.0,Cecum,D14C
D14E01D,21616.0,0.0,41092.0,193.0,200.0,867.0,23.0,0.0,0.0,0.0,Duodenum,D14D
D14E01I,271039.0,0.0,11125.0,85.0,28.0,317.0,470.0,0.0,0.0,0.0,Ileum,D14I
D14E01J,66674.0,0.0,4662.0,28.0,0.0,152.0,104.0,0.0,0.0,0.0,Jejunum,D14J
D14E02C,61324.0,0.0,17496.0,28.0,550.0,2548.0,2716.0,0.0,0.0,0.0,Cecum,D14C
D14E02D,62649.0,0.0,10081.0,0.0,329.0,3146.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E02I,250439.0,0.0,28847.0,15.0,0.0,356.0,190.0,0.0,0.0,0.0,Ileum,D14I
D14E02J,88600.0,0.0,5555.0,9.0,22.0,364.0,24.0,0.0,0.0,0.0,Jejunum,D14J
D14E03C,61981.0,0.0,7237.0,2.0,0.0,1105.0,2947.0,0.0,0.0,0.0,Cecum,D14C
D14E03D,80428.0,0.0,5228.0,0.0,227.0,1261.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E03I,214693.0,0.0,8164.0,0.0,42.0,504.0,56.0,0.0,0.0,0.0,Ileum,D14I
D14E03J,51403.0,0.0,3154.0,0.0,0.0,70.0,4.0,0.0,0.0,0.0,Jejunum,D14J
D14E04C,100952.0,0.0,5942.0,89.0,155.0,429.0,550.0,0.0,0.0,0.0,Cecum,D14C
D14E04D,68946.0,0.0,21866.0,0.0,0.0,5057.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E04I,90773.0,0.0,36741.0,0.0,44.0,404.0,23.0,0.0,0.0,0.0,Ileum,D14I
D14E04J,81858.0,0.0,8650.0,0.0,41.0,188.0,4.0,0.0,0.0,0.0,Jejunum,D14J
D14E05C,31938.0,0.0,4320.0,0.0,304.0,945.0,36.0,0.0,0.0,0.0,Cecum,D14C
D14E05D,145649.0,0.0,18538.0,0.0,558.0,3725.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E05I,239918.0,0.0,5451.0,0.0,62.0,715.0,287.0,0.0,0.0,0.0,Ileum,D14I
D14E05J,56137.0,0.0,1085.0,0.0,38.0,447.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E06C,84389.0,0.0,13909.0,131.0,0.0,20.0,2429.0,0.0,0.0,0.0,Cecum,D14C
D14E06D,91809.0,0.0,12524.0,0.0,282.0,1768.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E06I,140113.0,0.0,42490.0,0.0,209.0,1296.0,41.0,0.0,0.0,0.0,Ileum,D14I
D14E06J,35423.0,0.0,1467.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E07C,116275.0,0.0,8218.0,20.0,1117.0,2039.0,312.0,0.0,0.0,0.0,Cecum,D14C
D14E07D,59835.0,0.0,6366.0,0.0,0.0,1965.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E07I,203191.0,0.0,9422.0,14.0,0.0,0.0,150.0,0.0,0.0,0.0,Ileum,D14I
D14E07J,87010.0,0.0,1465.0,0.0,69.0,523.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E08C,67051.0,0.0,12687.0,0.0,144.0,282.0,642.0,0.0,0.0,0.0,Cecum,D14C
D14E08D,81156.0,0.0,2921.0,0.0,0.0,1422.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E08I,77249.0,0.0,9659.0,0.0,556.0,3246.0,191.0,0.0,0.0,0.0,Ileum,D14I
D14E08J,80834.0,0.0,1510.0,0.0,70.0,713.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D14E09C,92547.0,0.0,6396.0,35.0,276.0,390.0,553.0,0.0,0.0,0.0,Cecum,D14C
D14E09D,152947.0,0.0,4878.0,103.0,10.0,3339.0,7.0,14.0,19.0,0.0,Duodenum,D14D
D14E09I,129557.0,0.0,22984.0,0.0,0.0,2074.0,321.0,0.0,0.0,0.0,Ileum,D14I
D14E09J,88246.0,0.0,4869.0,29.0,17.0,622.0,38.0,0.0,0.0,0.0,Jejunum,D14J
D14E10C,52518.0,0.0,1173.0,0.0,24.0,336.0,0.0,0.0,0.0,0.0,Cecum,D14C
D14E10D,56921.0,0.0,10638.0,0.0,616.0,2406.0,0.0,0.0,0.0,0.0,Duodenum,D14D
D14E10I,182362.0,0.0,39754.0,0.0,1321.0,2279.0,601.0,0.0,0.0,0.0,Ileum,D14I
D14E10J,72725.0,0.0,2707.0,0.0,33.0,367.0,0.0,0.0,0.0,0.0,Jejunum,D14J
D21E01C,48379.0,0.0,3545.0,42.0,212.0,182.0,65.0,0.0,0.0,0.0,Cecum,D21C
D21E01D,111156.0,0.0,17936.0,16.0,188.0,3880.0,25.0,0.0,0.0,6.0,Duodenum,D21D
D21E01I,256673.0,0.0,76404.0,0.0,42.0,133.0,389.0,0.0,0.0,0.0,Ileum,D21I
D21E01J,244051.0,0.0,61243.0,8.0,0.0,257.0,239.0,0.0,0.0,0.0,Jejunum,D21J
D21E02C,218377.0,0.0,4965.0,150.0,110.0,5811.0,70.0,0.0,0.0,0.0,Cecum,D21C
D21E02D,39976.0,0.0,5181.0,0.0,0.0,584.0,0.0,0.0,0.0,0.0,Duodenum,D21D
D21E02I,218915.0,0.0,11662.0,28.0,0.0,436.0,225.0,0.0,0.0,225.0,Ileum,D21I
D21E02J,64642.0,0.0,563.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,Jejunum,D21J
D21E03C,99744.0,0.0,7740.0,0.0,472.0,6515.0,0.0,0.0,0.0,0.0,Cecum,D21C
D21E03D,89010.0,0.0,11298.0,0.0,920.0,2638.0,0.0,0.0,0.0,0.0,Duodenum,D21D
D21E03I,200325.0,0.0,33727.0,95.0,0.0,1806.0,13.0,0.0,0.0,0.0,Ileum,D21I
D21E03J,58388.0,0.0,2123.0,15.0,77.0,559.0,0.0,0.0,0.0,0.0,Jejunum,D21J
D21E04C,64304.0,0.0,3697.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,Cecum,D21C
D21E04D,90915.0,0.0,5456.0,0.0,0.0,5308.0,0.0,0.0,0.0,0.0,Duodenum,D21D
D21E04I,302437.0,0.0,11925.0,0.0,0.0,1817.0,295.0,0.0,0.0,0.0,Ileum,D21I
D21E04J,90070.0,0.0,2330.0,0.0,194.0,812.0,45.0,0.0,0.0,0.0,Jejunum,D21J
