"","Genus","Cluster","Importance"
"397","Starkeya",1,0.000108664442953795
"398","uncultured.21",1,0.000108664442890154
"399","uncultured.bacterium.31",1,0.00010866444287632
"400","X__.45",1,0.0001086644431808
"401","Gemmobacter",1,0.000108664443046759
"402","Rhodobacter",1,0.000108664443075303
"403","Rubellimicrobium",1,0.000108664443047309
"404","X__.46",1,0.000108664443216845
"405","Azospirillum.sp..47_25",1,0.00224484580061375
"406","gut.metagenome.2",1,0.00439325861517103
"407","unidentified.rumen.bacterium.RF32",1,0.00120040181987413
"408","uncultured.bacterium.32",1,0.00117505188685458
"409","Novosphingobium",1,0.00117192875792337
"410","Sphingobium",1,0.000108664443098461
"411","Sphingomonas",1,0.00117461286684211
"412","Sphingopyxis",1,0.00010866444287575
"413","uncultured.22",1,0.000108664442941137
"414","X__.47",1,0.000108664442984172
"415","Candidatus.Alysiosphaera",1,0.000108664443172895
"416","uncultured.23",1,0.000108664443397614
"417","uncultured.bacterium.33",1,0.000108664442896754
"418","X__.48",1,0.000108664443394727
"419","Peredibacter",1,0.000108664442956149
"420","Bdellovibrio",1,0.00010866444306459
"421","uncultured.24",1,0.000108664442942498
"422","Bilophila",1,0.0110424737690246
"423","Desulfovibrio",1,0.000108664443131886
"424","uncultured.25",1,0.0155301366990891
"425","X__.49",1,0.000108664443091489
"426","uncultured.bacterium.34",1,0.000108664443135416
"427","Cystobacter",1,0.000108664443318624
"428","X__.50",1,0.000108664443896776
"429","uncultured.soil.bacterium",1,0.000108664443087354
"430","Haliangium",1,0.000108664442958479
"431","uncultured.delta.proteobacterium",1,0.000108664442721476
"432","uncultured.26",1,0.000108664443216603
"433","Deltaproteobacteria.bacterium.GWD2_55_8",1,0.000108664442976716
"434","uncultured.Myxococcales.bacterium",1,0.000108664443583442
"435","uncultured.bacterium.35",1,0.000108664443080853
"436","uncultured.soil.bacterium.1",1,0.000108664443557551
"437","X__.51",1,0.000108664442905785
"438","uncultured.bacterium.36",1,0.00010866444314388
"439","X__.52",1,0.000108664443044056
"440","RCP1.48",1,0.000108664443073314
"441","uncultured.27",1,0.000108664443206202
"442","Marinobacter",1,0.000108664442990368
"443","uncultured.Rhodocyclaceae.bacterium",1,0.000108664443117617
"444","Acidovorax",1,0.000108664442941218
"445","Comamonas",1,0.000108664442587992
"446","Cupriavidus",1,0.000108664443044742
"447","Curvibacter",1,0.01110283472835
"448","Delftia",1,0.000108664443310348
"449","Lautropia",1,0.000108664443121405
"450","Limnobacter",1,0.000108664442951634
"451","Massilia",1,0.000108664443196763
"452","Parasutterella",1,0.00661934266919351
"453","Pelomonas",1,0.000108664443173342
"454","Polaromonas",1,0.000108664443036604
"455","Polynucleobacter",1,0.00117311607343029
"456","Ralstonia",1,0.000108664442881659
"457","Sphaerotilus",1,0.000108664443804805
